	at com.tetris.Application.main(Application.java:14)
15:57:30.587 [main] DEBUG o.h.boot.model.relational.Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
15:57:30.588 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration pg-uuid -> org.hibernate.type.PostgresUUIDType@353efdbf
15:57:30.588 [main] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.PostgresUUIDType@353efdbf
15:57:30.588 [main] DEBUG org.hibernate.type.BasicTypeRegistry - HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@4263b080
15:57:30.589 [main] DEBUG o.h.type.spi.TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@566d0c69] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@388b401d]
15:57:30.612 [main] DEBUG org.hibernate.cfg.AnnotationBinder - Binding entity from annotated class: com.tetris.db.entity.FigureType
15:57:30.622 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
15:57:30.624 [main] DEBUG o.h.cfg.annotations.EntityBinder - Import with entity name FigureType
15:57:30.625 [main] DEBUG o.h.cfg.annotations.EntityBinder - Bind entity com.tetris.db.entity.FigureType on table figure_type
15:57:30.639 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(figure_type), mappingColumn=figure_type_id, insertable=true, updatable=true, unique=false}
15:57:30.641 [main] DEBUG o.h.cfg.annotations.PropertyBinder - MetadataSourceProcessor property figureTypeId with lazy=false
15:57:30.642 [main] DEBUG o.h.cfg.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.tetris.db.entity.FigureType:figureTypeId]
15:57:30.643 [main] DEBUG o.h.c.annotations.SimpleValueBinder - building SimpleValue for figureTypeId
15:57:30.644 [main] DEBUG o.h.cfg.annotations.PropertyBinder - Building property figureTypeId
15:57:30.645 [main] DEBUG org.hibernate.cfg.BinderHelper - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(figure_type_id)]), figureTypeId, identity, , ...)
15:57:30.646 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(figure_type), mappingColumn=figure_structure, insertable=true, updatable=true, unique=false}
15:57:30.646 [main] DEBUG o.h.cfg.annotations.PropertyBinder - MetadataSourceProcessor property figureStructure with lazy=false
15:57:30.646 [main] DEBUG o.h.cfg.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.tetris.db.entity.FigureType:figureStructure]
15:57:30.646 [main] DEBUG o.h.c.annotations.SimpleValueBinder - building SimpleValue for figureStructure
15:57:30.646 [main] DEBUG o.h.cfg.annotations.PropertyBinder - Building property figureStructure
15:57:30.647 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(figure_type), mappingColumn=null, insertable=true, updatable=true, unique=false}
15:57:30.652 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(figure_type), mappingColumn=element, insertable=true, updatable=true, unique=false}
15:57:30.652 [main] DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(figure_type), mappingColumn=games_KEY, insertable=true, updatable=true, unique=false}
